10.841,4.1168000000000005,6.7166000000000015,230,191,186
12.447,4.5414,5.3134000000000015,243,238,228
12.499,4.4398,5.2232,213,219,171
9.3156,4.7894000000000005,6.189,224,234,178
10.1342,4.6352,5.981,121,107,69
12.0338,4.4034,5.5174,248,246,239
8.6302,4.993,5.7554,216,242,233
9.591,3.9124,5.9744,146,115,95
12.645,4.2436,5.117,210,149,146
10.8232,4.49,5.8618000000000015,236,167,182
9.0954,4.6674000000000015,6.2084,231,200,228
10.4736,4.1678000000000015,5.7348,245,153,171
10.2292,3.7282,4.8908000000000005,75,81,249
12.4626,4.5786,5.3450000000000015,239,165,235
9.049,4.6874,6.5414,177,227,223
12.3542,4.55,5.4274,246,240,247
9.3142,3.6604,5.8672,206,205,218
8.8948,4.6856,6.6312000000000015,227,249,250
9.3914,3.875,5.8934000000000015,224,242,205
12.2862,4.5008,5.481,247,246,245
9.3904,4.8068,6.1494,234,236,122
10.7582,4.5164,5.9018000000000015,247,231,237
11.1062,4.5354,5.723,156,86,39
9.1964,3.7252,6.0394000000000005,128,152,211
9.4024,3.8342,5.8712,162,209,199
10.2154,4.1974,5.276000000000002,234,159,213
8.8224,4.711,6.5684000000000005,198,225,215
12.562999999999999,4.381,5.371,229,227,141
10.158999999999999,4.4592,6.3726,120,81,221
10.4444,4.6012,5.9932,247,234,227
8.6328,4.5200000000000005,5.2952,172,229,246
8.887,4.8302000000000005,6.5756000000000006,213,243,237
9.6816,3.9164,5.7846,65,77,98
8.7238,4.6566,6.1128,229,246,249
8.7834,4.513,5.2262,211,187,134
11.542,4.4904,5.8136,248,240,244
11.2766,4.6162,5.7836,237,157,198
12.5412,4.4076,5.2236,246,244,223
11.4676,4.0748,5.1738,180,207,199
8.9254,4.666,5.2164,228,244,167
10.5422,4.5866,6.0118,236,212,160
9.3038,4.4444,5.251,239,235,185
11.1008,4.5264000000000015,5.7576,244,180,153
8.9092,4.558,6.7378,197,230,164
10.3006,4.6032,6.0256,248,248,247
11.478,4.1054,5.4748,133,125,191
10.503,4.5324,5.9088,218,147,162
10.3214,4.3736000000000015,6.271,157,148,86
8.813600000000003,4.5694,5.9802,142,193,244
8.7934,4.754,5.176,250,240,240
9.347999999999999,4.7388,6.1774,214,125,144
8.719000000000001,4.2996,6.2360000000000015,248,245,248
8.7096,4.9508,4.9914000000000005,95,178,179
11.482,4.598,5.8422,235,210,182
